FLOAT_ID,PROFILE_NUMBER,CYCLE_NUMBER,JULD,LATITUDE,LONGITUDE,POSITION_QC,DIRECTION,DATA_MODE,PROFILE_PRES_QC,PROFILE_TEMP_QC,PROFILE_PSAL_QC
6903091,1,1.0,2021-03-06 00:45:00.000000000,8.973813333333334,-20.053463333333333,1,D,R,A,B,B
6903091,2,1.0,2021-03-06 11:30:00.000000000,8.935071666666667,-20.050086666666665,1,A,R,A,A,A
6903091,3,2.0,2021-03-06 13:04:00.000000000,8.929855,-20.04686166666667,1,D,R,A,B,B
6903091,4,2.0,2021-03-07 11:44:00.000000000,8.864466666666667,-20.028581666666668,1,A,R,A,A,A
6903091,5,3.0,2021-03-07 12:48:00.000000000,8.859503333333333,-20.02858,1,D,R,A,B,B
6903091,6,3.0,2021-03-08 11:42:00.000000000,8.824538333333333,-20.034956666666666,1,A,R,A,A,A
6903091,7,4.0,2021-03-08 12:54:00.000000000,8.823116666666667,-20.035515,1,D,R,A,B,B
6903091,8,4.0,2021-03-09 11:37:00.000000000,8.79035,-20.017026666666666,1,A,R,A,A,A
6903091,9,5.0,2021-03-09 13:13:00.000000256,8.784295,-20.019796666666668,1,D,R,A,A,C
6903091,10,5.0,2021-03-10 13:39:00.000000000,8.761006666666667,-20.002523333333333,1,A,R,A,A,A
6903091,11,6.0,2021-03-10 14:47:00.000000000,8.759498333333333,-20.002171666666666,1,D,R,A,A,F
6903091,12,6.0,2021-03-11 13:28:00.000000000,8.734456666666667,-19.989671666666666,1,A,R,A,A,A
6903091,13,7.0,2021-03-11 14:36:00.000000000,8.730346666666666,-19.98961,1,D,R,A,A,F
6903091,14,7.0,2021-03-12 13:37:00.000000000,8.713736666666666,-19.975913333333335,1,A,R,A,A,A
6903091,15,8.0,2021-03-12 14:49:00.000000000,8.710516666666667,-19.977295,1,D,R,A,A,C
6903091,16,8.0,2021-03-22 17:46:00.000000000,8.950773333333334,-19.99197,1,A,R,A,A,A
6903091,17,9.0,2021-03-22 18:59:00.000000000,8.948791666666667,-19.992481666666666,1,D,R,A,A,F
6903091,18,9.0,2021-04-01 12:40:00.000000000,9.35003,-20.190843333333333,1,A,R,A,A,A
6903091,19,10.0,2021-04-01 13:52:00.000000000,9.352086666666667,-20.192746666666668,1,D,R,A,A,C
6903091,20,10.0,2021-04-11 08:13:00.000000000,9.61891,-20.528435,1,A,R,A,A,A
6903006,1,2.0,2019-09-23 09:18:29.999999744,76.242795,12.963903333333333,1,A,D,A,A,A
6903006,2,3.0,2019-09-24 09:22:30.000000000,76.260845,12.933451666666667,1,A,D,A,A,A
6903006,3,4.0,2019-09-25 09:23:30.000000000,76.31178166666666,13.121273333333333,1,A,D,A,A,A
6903006,4,5.0,2019-09-26 09:18:29.999999744,76.41931166666667,12.968605,1,A,D,A,A,A
6903006,5,6.0,2019-09-27 09:18:29.999999744,76.40734833333333,12.727235,1,A,D,A,A,A
6903006,6,7.0,2019-09-28 09:18:29.999999744,76.30408333333334,12.765906666666666,1,A,D,A,A,A
6903006,7,8.0,2019-09-29 09:29:30.000000000,76.18127333333334,12.48836,1,A,D,A,A,A
6903006,8,9.0,2019-09-30 09:22:30.000000000,76.07495166666666,12.889743333333334,1,A,D,A,A,A
6903006,9,10.0,2019-10-01 09:07:30.000000000,76.02474666666667,13.036033333333334,1,A,D,A,A,A
6903006,10,11.0,2019-10-02 09:50:30.000000256,75.97563333333333,12.828965,1,A,D,A,A,A
